Product_Category,Region,Age_Group,Gender,Month,Sales_Amount,Units_Sold,Customer_Rating
Home Appliances,Africa,35-44,Male,April,855.03,68,3.1
Electronics,Latin America,45-54,Female,September,863.9,26,4.6
Books,Latin America,18-24,Male,February,929.72,79,3.5
Sports Equipment,Africa,25-34,Male,April,202.99,55,3.4
Clothing,Middle East,18-24,Non-binary,July,319.06,13,4.6
Clothing,Latin America,35-44,Male,December,286.48,48,4.4
Beauty Products,North America,35-44,Non-binary,May,282.36,17,3.0
Home Appliances,North America,65+,Female,August,490.81,10,3.3
Sports Equipment,Africa,25-34,Female,June,155.36,37,2.3
Beauty Products,Latin America,25-34,Male,August,816.91,61,2.0
Clothing,Asia-Pacific,25-34,Female,August,955.82,9,1.2
Clothing,Middle East,35-44,Female,September,687.04,3,4.3
Clothing,Asia-Pacific,55-64,Non-binary,September,436.36,91,4.6
Beauty Products,Europe,18-24,Female,September,30.46,65,1.8
Beauty Products,Asia-Pacific,25-34,Female,July,631.35,91,3.0
Home Appliances,Africa,18-24,Non-binary,December,475.45,72,1.4
Home Appliances,Middle East,18-24,Non-binary,December,180.43,58,4.7
Beauty Products,Asia-Pacific,25-34,Female,July,117.24,62,4.0
Electronics,Africa,25-34,Male,February,457.96,35,2.7
Electronics,North America,25-34,Female,August,551.34,8,3.4
Home Appliances,Africa,45-54,Female,October,338.35,82,4.6
Beauty Products,Latin America,25-34,Male,February,787.4,90,4.7
Books,Middle East,35-44,Female,November,350.57,56,4.5
Sports Equipment,Africa,65+,Male,February,376.9,88,3.9
Beauty Products,Africa,35-44,Non-binary,March,77.96,28,3.7
Beauty Products,Latin America,25-34,Male,November,301.97,78,2.5
Home Appliances,North America,35-44,Male,July,881.67,52,4.4
Electronics,North America,55-64,Female,June,155.35,32,3.2
Electronics,Middle East,55-64,Female,October,106.43,62,2.0
Sports Equipment,North America,45-54,Male,May,500.52,59,3.2
Books,North America,35-44,Female,May,603.22,8,3.5
Beauty Products,Latin America,35-44,Male,April,577.11,76,1.4
Clothing,Latin America,25-34,Non-binary,August,152.74,56,1.9
Books,Middle East,25-34,Non-binary,December,429.78,41,4.4
Sports Equipment,Asia-Pacific,55-64,Male,December,452.93,29,3.8
Books,Latin America,45-54,Female,May,74.27,23,1.0
Clothing,Latin America,18-24,Male,November,253.86,65,3.9
Home Appliances,Europe,55-64,Female,June,949.79,27,1.0
Electronics,Asia-Pacific,25-34,Male,December,396.42,74,4.6
Electronics,Latin America,25-34,Female,November,217.33,85,2.9
Clothing,North America,55-64,Female,December,549.31,63,3.5
Clothing,Africa,55-64,Male,June,63.26,59,3.8
Electronics,Asia-Pacific,65+,Male,May,522.34,43,4.9
Beauty Products,North America,65+,Non-binary,April,549.51,76,4.7
Beauty Products,Middle East,65+,Male,January,472.23,2,4.5
Electronics,Europe,45-54,Non-binary,July,327.69,50,3.4
Electronics,Middle East,45-54,Male,January,760.37,5,4.9
Sports Equipment,Asia-Pacific,65+,Female,December,733.42,8,2.3
Beauty Products,North America,18-24,Non-binary,April,483.55,20,5.0
Electronics,North America,18-24,Male,September,848.93,20,4.4
Beauty Products,Latin America,18-24,Non-binary,October,539.14,72,4.8
Electronics,Asia-Pacific,25-34,Female,October,148.41,85,1.5
Sports Equipment,Middle East,45-54,Female,June,866.24,26,4.8
Home Appliances,Asia-Pacific,25-34,Female,February,399.8,52,2.9
Home Appliances,Asia-Pacific,55-64,Female,February,456.3,85,1.5
Books,Latin America,25-34,Non-binary,February,786.2,31,2.2
Sports Equipment,Latin America,35-44,Female,August,940.47,45,2.3
Books,Europe,55-64,Male,January,389.93,10,1.3
Books,Asia-Pacific,55-64,Female,November,452.59,99,1.3
Beauty Products,Latin America,45-54,Female,March,174.64,25,2.7
Home Appliances,Asia-Pacific,18-24,Female,January,479.15,60,4.8
Electronics,North America,25-34,Non-binary,December,120.79,81,3.3
Clothing,Middle East,25-34,Male,April,326.36,19,4.5
Books,North America,55-64,Non-binary,August,249.12,68,3.2
Sports Equipment,Europe,25-34,Female,July,910.91,23,2.5
Books,Europe,25-34,Non-binary,May,607.24,30,2.3
Sports Equipment,Europe,45-54,Non-binary,September,828.75,71,3.1
Sports Equipment,Latin America,45-54,Male,June,595.47,87,3.8
Sports Equipment,Latin America,45-54,Non-binary,August,821.61,30,1.5
Home Appliances,Latin America,45-54,Male,April,830.93,92,1.7
Clothing,Asia-Pacific,55-64,Non-binary,August,817.01,61,2.9
Clothing,North America,35-44,Male,May,976.53,2,4.9
Books,Latin America,55-64,Female,August,617.05,29,3.3
Home Appliances,Europe,45-54,Non-binary,August,136.71,31,1.2
Books,Africa,35-44,Male,January,31.9,94,2.6
Electronics,Latin America,45-54,Female,January,23.54,55,3.5
Books,Middle East,25-34,Male,July,282.9,72,1.5
Sports Equipment,Africa,45-54,Non-binary,January,228.77,90,2.0
Books,Africa,45-54,Male,January,431.07,90,2.7
Home Appliances,North America,55-64,Non-binary,April,925.43,87,1.1
Electronics,Latin America,55-64,Non-binary,November,491.92,2,1.4
Books,Africa,18-24,Female,November,55.18,68,4.5
Home Appliances,Latin America,35-44,Non-binary,October,604.02,73,4.8
Electronics,Asia-Pacific,35-44,Male,February,365.87,27,1.3
Electronics,Africa,65+,Female,April,854.73,96,1.6
Electronics,Latin America,45-54,Non-binary,November,795.56,4,3.5
Clothing,North America,18-24,Female,November,160.2,36,4.0
Electronics,Latin America,65+,Male,January,102.3,16,4.4
Beauty Products,Europe,25-34,Non-binary,October,992.41,36,4.4
Clothing,Middle East,45-54,Male,July,936.2,39,4.5
Home Appliances,Africa,18-24,Male,January,11.37,80,4.5
Clothing,Europe,18-24,Non-binary,December,543.62,53,5.0
Home Appliances,Africa,55-64,Male,September,465.58,96,3.1
Books,Asia-Pacific,25-34,Female,September,19.42,59,3.8
Sports Equipment,North America,25-34,Non-binary,August,780.36,42,3.0
Electronics,Europe,18-24,Male,May,235.91,62,2.7
Books,Latin America,25-34,Non-binary,July,704.39,45,4.3
Books,Europe,35-44,Non-binary,February,15.66,79,2.8
Clothing,North America,25-34,Male,August,216.05,62,4.3
Clothing,North America,25-34,Female,March,952.48,7,4.9
Books,North America,45-54,Non-binary,December,191.31,99,3.0
Sports Equipment,North America,65+,Male,March,618.42,4,1.6
Beauty Products,Africa,55-64,Non-binary,May,527.69,2,4.9
Books,Latin America,35-44,Non-binary,March,69.16,15,2.6
Clothing,Middle East,18-24,Female,October,444.2,100,4.2
Electronics,Europe,35-44,Non-binary,October,231.19,36,4.3
Sports Equipment,Asia-Pacific,45-54,Female,July,76.52,14,3.0
Home Appliances,North America,35-44,Male,April,768.57,95,4.9
Beauty Products,Latin America,35-44,Male,October,127.82,53,2.4
Clothing,Asia-Pacific,45-54,Male,May,44.6,33,2.5
Books,Latin America,45-54,Male,January,497.7,97,1.7
Home Appliances,Latin America,65+,Female,July,608.14,81,4.5
Clothing,Africa,18-24,Female,January,772.21,48,4.3
Books,Latin America,25-34,Non-binary,January,984.41,11,4.7
Home Appliances,Asia-Pacific,45-54,Non-binary,July,965.77,43,3.7
Home Appliances,Middle East,45-54,Non-binary,November,613.01,96,1.6
Sports Equipment,Africa,45-54,Non-binary,June,136.22,79,3.7
Beauty Products,Latin America,45-54,Male,September,912.36,75,1.7
Beauty Products,Africa,55-64,Male,July,103.57,93,2.1
Clothing,Europe,35-44,Female,July,430.16,27,1.2
Home Appliances,North America,45-54,Non-binary,July,112.85,18,1.3
Books,Latin America,55-64,Male,April,468.81,80,4.6
Home Appliances,Europe,25-34,Male,July,913.1,24,3.6
Home Appliances,Middle East,45-54,Female,March,472.15,21,1.8
Electronics,North America,45-54,Female,November,464.93,90,3.7
Beauty Products,Middle East,65+,Non-binary,April,106.74,2,2.0
Sports Equipment,North America,25-34,Non-binary,February,711.98,16,2.2
Beauty Products,Latin America,65+,Female,December,482.88,4,1.4
Beauty Products,Latin America,25-34,Non-binary,December,188.89,100,3.7
Clothing,Europe,25-34,Female,November,765.55,71,1.5
Home Appliances,Latin America,25-34,Male,November,850.15,81,2.4
Books,Africa,65+,Male,October,216.73,7,2.2
Home Appliances,Middle East,35-44,Non-binary,March,33.73,68,4.0
Clothing,Latin America,25-34,Female,January,812.35,76,4.8
Electronics,Asia-Pacific,65+,Female,October,187.28,49,1.8
Books,North America,35-44,Male,February,708.02,18,5.0
Electronics,Africa,65+,Non-binary,October,857.37,30,3.2
Electronics,North America,45-54,Female,March,277.32,68,4.1
Books,Latin America,45-54,Non-binary,February,647.59,24,3.3
Sports Equipment,Africa,45-54,Male,July,369.29,34,4.3
Home Appliances,Middle East,45-54,Male,March,246.93,92,3.2
Home Appliances,Europe,25-34,Male,August,615.65,41,2.2
Electronics,Latin America,25-34,Female,June,993.48,21,2.2
Books,Latin America,55-64,Female,September,210.54,15,3.7
Electronics,Africa,65+,Female,August,239.18,85,3.7
Beauty Products,Africa,35-44,Male,April,24.83,41,4.3
Home Appliances,Latin America,65+,Female,March,547.69,16,1.8
Electronics,Asia-Pacific,18-24,Female,June,941.97,14,4.3
Beauty Products,Middle East,55-64,Non-binary,May,849.93,29,4.8
Electronics,Asia-Pacific,55-64,Non-binary,October,841.72,28,3.7
Home Appliances,Latin America,35-44,Non-binary,June,449.39,81,2.0
Beauty Products,Europe,25-34,Male,September,167.38,44,3.3
Electronics,North America,55-64,Female,March,271.68,51,4.4
Home Appliances,North America,65+,Female,July,439.12,54,3.1
Home Appliances,North America,45-54,Female,December,320.21,81,4.1
Books,Europe,55-64,Male,July,710.28,50,3.9
Home Appliances,Middle East,55-64,Female,August,639.76,31,1.5
Home Appliances,Middle East,25-34,Female,April,135.99,47,2.7
Sports Equipment,Europe,65+,Non-binary,August,169.49,56,5.0
Sports Equipment,Middle East,65+,Male,November,84.81,75,4.9
Books,Europe,65+,Female,May,439.01,59,2.9
Clothing,Latin America,35-44,Male,June,784.77,9,4.0
Books,North America,35-44,Female,December,375.02,16,1.8
Beauty Products,Europe,35-44,Non-binary,December,705.1,23,1.8
Sports Equipment,Latin America,45-54,Female,March,848.01,51,3.5
Clothing,Europe,65+,Non-binary,June,904.18,87,2.9
Clothing,Europe,25-34,Female,February,658.99,37,2.4
Clothing,North America,35-44,Non-binary,June,34.57,45,2.5
Home Appliances,Africa,55-64,Male,August,768.85,22,2.9
Books,Latin America,25-34,Non-binary,September,402.63,33,4.7
Beauty Products,Middle East,45-54,Male,June,190.09,48,4.7
Electronics,Asia-Pacific,35-44,Male,August,902.07,48,1.4
Beauty Products,Asia-Pacific,45-54,Female,December,496.64,24,1.2
Home Appliances,Africa,18-24,Female,August,526.68,80,4.4
Books,Asia-Pacific,55-64,Male,May,998.99,50,2.4
Home Appliances,Africa,18-24,Non-binary,July,839.04,4,4.9
Electronics,Asia-Pacific,25-34,Non-binary,July,531.8,23,2.2
Home Appliances,Latin America,25-34,Male,December,339.39,68,3.5
Books,Latin America,65+,Male,September,658.65,28,1.4
Sports Equipment,Latin America,25-34,Female,December,46.88,51,2.3
Beauty Products,Asia-Pacific,25-34,Male,August,121.74,60,4.2
Beauty Products,Africa,55-64,Male,February,287.06,59,3.4
Beauty Products,Europe,45-54,Non-binary,May,708.83,47,1.7
Sports Equipment,Asia-Pacific,25-34,Female,December,435.36,86,4.0
Sports Equipment,North America,55-64,Female,July,938.78,72,4.4
Sports Equipment,Europe,25-34,Female,February,690.84,85,1.8
Clothing,Latin America,45-54,Female,May,641.06,62,3.2
Books,North America,25-34,Male,November,948.32,60,3.1
Books,North America,55-64,Female,March,998.34,62,4.6
Home Appliances,Latin America,45-54,Male,April,915.31,74,1.9
Beauty Products,Africa,35-44,Female,November,730.12,43,1.3
Sports Equipment,Middle East,45-54,Non-binary,February,313.07,60,2.6
Home Appliances,North America,55-64,Male,October,352.0,43,3.6
Sports Equipment,Middle East,65+,Male,September,224.07,29,3.8
Books,Middle East,45-54,Female,December,405.44,91,2.7
Books,Latin America,55-64,Male,October,201.87,48,1.6
Sports Equipment,North America,65+,Female,July,351.03,1,2.2
Sports Equipment,Middle East,25-34,Male,August,262.56,44,1.0
Books,Middle East,18-24,Male,January,788.78,91,2.7
Home Appliances,Europe,55-64,Male,December,360.83,45,2.4
Home Appliances,North America,35-44,Female,August,626.85,51,2.4
Books,Asia-Pacific,25-34,Non-binary,October,864.59,26,4.4
Sports Equipment,Asia-Pacific,55-64,Male,April,428.5,30,1.3
Beauty Products,North America,25-34,Male,January,879.06,74,4.6
Beauty Products,Middle East,25-34,Male,August,142.51,51,5.0
Beauty Products,Asia-Pacific,45-54,Male,April,244.8,93,3.9
Books,Europe,45-54,Female,July,946.08,44,4.6
Electronics,Europe,18-24,Non-binary,December,238.13,74,3.8
Sports Equipment,North America,55-64,Non-binary,August,18.51,18,3.3
Home Appliances,Latin America,55-64,Female,May,180.18,90,3.6
Clothing,Asia-Pacific,35-44,Non-binary,May,621.0,54,3.1
Books,Latin America,45-54,Female,April,66.24,24,2.1
Books,Latin America,45-54,Male,March,977.57,64,1.3
Sports Equipment,North America,18-24,Male,February,412.93,6,3.8
Beauty Products,North America,45-54,Male,April,431.27,20,3.4
Clothing,Asia-Pacific,25-34,Female,May,304.02,25,1.1
Sports Equipment,Asia-Pacific,55-64,Male,May,951.95,18,4.5
Home Appliances,Europe,65+,Female,January,461.89,45,3.5
Beauty Products,North America,18-24,Female,October,36.34,68,4.4
Sports Equipment,Latin America,65+,Non-binary,August,670.22,22,1.5
Clothing,North America,35-44,Female,August,46.59,45,4.5
Beauty Products,Europe,45-54,Non-binary,November,867.45,26,2.2
Clothing,Latin America,25-34,Non-binary,June,715.69,62,2.6
Sports Equipment,North America,55-64,Male,December,677.81,10,3.8
Electronics,Europe,45-54,Non-binary,September,269.11,50,3.2
Clothing,North America,25-34,Non-binary,October,840.57,99,1.4
Clothing,Latin America,55-64,Male,May,699.3,36,4.5
Electronics,Europe,55-64,Male,October,42.07,13,4.5
Clothing,Europe,25-34,Female,December,61.22,74,3.5
Books,Africa,18-24,Non-binary,January,258.73,77,1.2
Sports Equipment,Asia-Pacific,18-24,Female,May,853.85,88,2.2
Sports Equipment,North America,55-64,Female,January,518.85,90,3.8
Clothing,Middle East,45-54,Non-binary,June,561.98,23,2.1
Home Appliances,Latin America,25-34,Non-binary,March,687.95,91,4.5
Beauty Products,North America,45-54,Female,May,532.17,13,4.3
Home Appliances,Asia-Pacific,18-24,Male,September,741.47,75,5.0
Beauty Products,Latin America,35-44,Male,August,491.92,5,1.4
Home Appliances,North America,35-44,Non-binary,November,218.78,69,1.3
Books,North America,65+,Female,February,250.55,12,1.8
Electronics,Africa,55-64,Non-binary,February,79.67,34,2.4
Clothing,Africa,45-54,Non-binary,October,141.84,24,4.3
Sports Equipment,Latin America,25-34,Male,December,356.98,1,1.8
Beauty Products,Africa,45-54,Male,April,370.23,25,4.0
Sports Equipment,North America,55-64,Male,May,872.13,57,4.3
Sports Equipment,North America,65+,Non-binary,April,552.64,90,2.3
Beauty Products,Africa,45-54,Non-binary,January,681.99,8,3.2
Sports Equipment,Europe,65+,Non-binary,July,355.19,71,3.7
Home Appliances,Asia-Pacific,65+,Male,July,331.76,5,3.9
Beauty Products,Asia-Pacific,65+,Female,April,266.38,85,2.6
Books,Latin America,35-44,Female,January,427.66,4,2.2
Clothing,North America,45-54,Female,August,581.12,65,4.2
Sports Equipment,Latin America,25-34,Male,April,12.13,59,3.9
Home Appliances,Middle East,45-54,Female,June,435.62,67,3.5
Beauty Products,Middle East,25-34,Non-binary,November,377.75,64,4.2
Clothing,Europe,45-54,Female,April,22.27,91,3.0
Electronics,Latin America,18-24,Male,May,790.28,64,1.2
Electronics,Middle East,25-34,Non-binary,March,24.1,96,3.6
Home Appliances,Latin America,55-64,Female,December,803.66,5,2.0
Home Appliances,Asia-Pacific,35-44,Non-binary,November,574.26,10,1.3
Books,Asia-Pacific,65+,Non-binary,September,182.37,25,1.6
Beauty Products,Africa,55-64,Female,August,66.41,10,4.2
Electronics,Asia-Pacific,25-34,Non-binary,November,925.05,24,4.1
Sports Equipment,Africa,18-24,Non-binary,May,246.5,36,4.9
Sports Equipment,Latin America,18-24,Male,September,807.86,47,4.7
Books,Middle East,25-34,Non-binary,May,257.13,42,1.6
Beauty Products,Africa,18-24,Male,November,25.41,4,3.3
Clothing,Middle East,18-24,Female,July,174.0,21,3.2
Beauty Products,Europe,55-64,Male,August,332.12,12,1.1
Electronics,Latin America,35-44,Male,March,448.58,57,3.5
Electronics,Middle East,18-24,Male,April,653.91,52,4.3
Clothing,Latin America,65+,Male,June,28.09,5,2.6
Home Appliances,Asia-Pacific,45-54,Male,September,621.73,46,4.5
Home Appliances,Africa,35-44,Female,March,813.5,70,1.6
Electronics,Middle East,18-24,Female,October,550.28,69,1.7
Clothing,Middle East,45-54,Female,January,542.54,62,2.5
Beauty Products,Latin America,45-54,Male,January,516.35,43,4.3
Electronics,Asia-Pacific,45-54,Male,April,839.5,65,1.8
Clothing,Middle East,55-64,Non-binary,October,561.77,96,2.3
Beauty Products,North America,25-34,Female,April,340.2,13,3.4
Beauty Products,Middle East,55-64,Female,July,544.36,90,4.8
Home Appliances,Latin America,45-54,Male,April,420.63,89,1.2
Beauty Products,Latin America,35-44,Non-binary,May,59.55,7,2.3
Electronics,Latin America,45-54,Female,July,151.91,55,4.7
Clothing,Africa,35-44,Male,November,145.4,64,2.9
Electronics,Africa,35-44,Non-binary,March,886.97,46,3.6
Electronics,Asia-Pacific,18-24,Female,February,548.64,70,2.0
Home Appliances,Europe,25-34,Male,June,655.27,92,1.9
Beauty Products,Middle East,65+,Male,March,794.89,75,1.8
Clothing,Middle East,25-34,Female,April,681.31,31,4.9
Books,Latin America,65+,Female,January,888.42,72,4.3
Sports Equipment,Latin America,35-44,Male,April,833.77,94,4.5
Books,North America,35-44,Non-binary,June,164.46,13,3.2
Beauty Products,Asia-Pacific,65+,Female,July,30.95,25,1.6
Beauty Products,Asia-Pacific,35-44,Non-binary,April,42.77,59,1.6
Electronics,Middle East,65+,Female,April,136.18,37,3.0
Home Appliances,Latin America,35-44,Non-binary,February,172.83,74,2.8
Sports Equipment,North America,25-34,Non-binary,February,945.95,79,3.1
Clothing,Latin America,18-24,Non-binary,July,855.53,71,3.6
Clothing,Asia-Pacific,65+,Male,June,837.95,25,3.1
Books,Europe,55-64,Male,July,103.36,22,1.6
Home Appliances,Africa,65+,Female,February,327.3,89,2.6
Electronics,Africa,18-24,Male,September,850.39,68,2.5
Books,Asia-Pacific,65+,Female,August,549.39,63,2.4
Electronics,North America,45-54,Female,August,474.39,16,2.2
Electronics,Europe,55-64,Non-binary,March,117.42,44,1.9
Books,Europe,45-54,Female,April,392.2,50,1.4
Electronics,Latin America,65+,Male,June,145.68,46,4.8
Home Appliances,Latin America,18-24,Male,December,836.82,63,1.4
Home Appliances,Latin America,45-54,Female,November,846.78,46,1.1
Clothing,Middle East,55-64,Female,September,686.6,31,3.3
Home Appliances,Europe,25-34,Non-binary,January,30.83,45,3.7
Beauty Products,Latin America,55-64,Non-binary,April,123.91,6,1.7
Books,Middle East,55-64,Non-binary,June,657.55,77,4.0
Electronics,Asia-Pacific,25-34,Non-binary,October,316.53,95,5.0
Books,Latin America,55-64,Female,April,109.59,24,1.2
Electronics,Latin America,45-54,Non-binary,October,739.11,28,2.4
Beauty Products,Asia-Pacific,45-54,Male,January,266.02,51,3.9
Clothing,North America,55-64,Male,August,521.07,55,1.9
Beauty Products,Europe,18-24,Non-binary,December,639.4,34,4.3
Home Appliances,Asia-Pacific,25-34,Non-binary,October,129.83,85,3.4
Electronics,Africa,55-64,Female,September,929.82,24,2.5
Sports Equipment,Latin America,35-44,Male,April,698.53,33,4.6
Beauty Products,Middle East,25-34,Non-binary,December,588.48,75,2.9
Beauty Products,Europe,35-44,Non-binary,September,535.82,94,4.0
Clothing,Asia-Pacific,45-54,Female,December,85.66,29,2.0
Clothing,Europe,65+,Female,September,581.5,47,1.0
Sports Equipment,Africa,35-44,Male,January,399.8,93,3.0
Sports Equipment,Latin America,45-54,Male,October,600.36,7,1.1
Clothing,Latin America,25-34,Non-binary,September,806.18,17,4.3
Beauty Products,Asia-Pacific,45-54,Male,April,376.86,77,2.8
Clothing,North America,45-54,Female,January,881.07,20,1.0
Electronics,Middle East,35-44,Non-binary,November,219.26,38,3.6
Beauty Products,Africa,35-44,Non-binary,December,61.91,87,4.7
Home Appliances,Africa,55-64,Male,September,886.74,73,1.6
Beauty Products,Asia-Pacific,25-34,Female,February,28.73,2,4.1
Clothing,North America,45-54,Male,April,32.63,27,1.8
Beauty Products,Latin America,65+,Female,December,360.13,75,1.9
Home Appliances,North America,25-34,Male,April,920.39,22,4.8
Beauty Products,Africa,25-34,Male,December,990.99,50,4.8
Home Appliances,Africa,25-34,Female,January,34.51,3,3.5
Clothing,Middle East,35-44,Female,January,169.58,64,3.3
Clothing,Africa,55-64,Non-binary,December,131.51,39,2.5
Sports Equipment,Europe,65+,Non-binary,July,771.74,58,2.4
Books,Middle East,65+,Male,June,931.51,54,2.6
Electronics,Europe,18-24,Non-binary,June,664.33,98,3.9
Sports Equipment,Middle East,18-24,Male,December,199.95,14,1.4
Books,Middle East,65+,Female,October,41.43,58,4.1
Books,North America,18-24,Male,March,310.83,12,3.7
Home Appliances,Latin America,25-34,Male,February,979.66,77,1.3
Beauty Products,Africa,45-54,Male,December,988.18,21,1.7
Electronics,Latin America,35-44,Male,September,908.11,22,3.5
Books,Middle East,25-34,Female,June,426.83,59,3.0
Electronics,Africa,35-44,Female,April,764.9,87,1.3
Beauty Products,North America,25-34,Male,September,241.34,72,3.7
Home Appliances,Middle East,45-54,Non-binary,December,658.13,80,3.3
Beauty Products,Asia-Pacific,55-64,Female,March,228.89,49,2.7
Books,Asia-Pacific,65+,Non-binary,November,446.39,98,1.5
Clothing,Middle East,25-34,Female,February,555.79,99,3.3
Books,Africa,35-44,Female,June,794.01,49,1.9
Electronics,Middle East,25-34,Male,February,310.49,45,4.2
Beauty Products,Latin America,65+,Male,April,352.09,46,1.8
Home Appliances,North America,18-24,Non-binary,July,725.94,94,3.8
Books,North America,35-44,Non-binary,March,570.51,70,4.9
Home Appliances,Africa,55-64,Non-binary,May,450.94,70,3.9
Sports Equipment,Africa,65+,Female,February,527.87,48,2.2
Home Appliances,North America,65+,Female,March,923.07,9,2.1
Books,Africa,45-54,Female,November,926.69,73,1.1
Beauty Products,Europe,35-44,Non-binary,January,615.13,23,1.0
Electronics,Middle East,25-34,Non-binary,January,969.31,92,3.7
Clothing,Asia-Pacific,45-54,Male,October,749.79,58,3.6
Clothing,North America,18-24,Male,February,827.23,99,4.4
Home Appliances,Europe,35-44,Male,December,754.24,69,2.3
Electronics,Latin America,18-24,Male,May,870.7,12,1.6
Books,North America,25-34,Female,May,520.29,3,2.3
Books,Latin America,18-24,Female,February,769.7,80,1.8
Electronics,Africa,45-54,Female,April,248.9,57,2.1
Beauty Products,Africa,45-54,Non-binary,July,362.5,72,4.2
Home Appliances,Europe,45-54,Female,August,280.71,18,3.3
Home Appliances,Latin America,18-24,Male,October,458.42,31,4.2
Books,Asia-Pacific,55-64,Male,July,278.74,45,4.1
Sports Equipment,North America,45-54,Male,March,734.45,100,2.1
Beauty Products,Africa,35-44,Non-binary,February,316.81,82,1.0
Electronics,Africa,65+,Male,October,444.68,23,3.4
Sports Equipment,Africa,25-34,Non-binary,October,802.21,64,3.9
Electronics,Africa,45-54,Female,June,955.49,17,1.8
Books,Asia-Pacific,45-54,Non-binary,November,99.18,98,4.2
Home Appliances,Europe,55-64,Non-binary,November,661.95,76,2.3
Home Appliances,Asia-Pacific,65+,Male,November,73.38,12,3.7
Electronics,Africa,65+,Female,August,270.89,70,1.2
Beauty Products,Africa,45-54,Female,August,392.35,98,2.7
Home Appliances,Africa,65+,Female,February,327.29,80,3.4
Sports Equipment,Asia-Pacific,55-64,Female,May,646.74,16,1.8
Clothing,Europe,65+,Non-binary,July,198.21,45,2.3
Electronics,North America,18-24,Male,February,58.31,50,2.4
Clothing,North America,45-54,Non-binary,December,54.3,49,1.5
Home Appliances,Asia-Pacific,18-24,Male,March,415.84,59,3.2
Sports Equipment,Africa,45-54,Non-binary,April,993.21,55,3.9
Clothing,Africa,65+,Non-binary,January,50.26,80,4.4
Beauty Products,North America,25-34,Non-binary,September,939.28,44,1.9
Books,North America,45-54,Male,January,331.7,36,2.8
Sports Equipment,Asia-Pacific,35-44,Male,September,965.85,38,3.4
Electronics,Latin America,55-64,Non-binary,April,926.63,65,3.8
Books,Latin America,25-34,Male,September,540.62,32,1.0
Electronics,Europe,18-24,Non-binary,May,176.13,60,2.4
Beauty Products,Europe,18-24,Female,July,15.23,65,5.0
Home Appliances,Europe,18-24,Male,December,920.54,28,3.9
Home Appliances,Latin America,35-44,Male,May,47.56,55,1.9
Electronics,Europe,25-34,Non-binary,November,336.31,100,4.8
Home Appliances,Africa,55-64,Female,April,721.84,93,3.4
Books,Latin America,55-64,Non-binary,November,99.26,50,2.3
Books,Middle East,45-54,Female,February,234.38,57,3.4
Books,Middle East,35-44,Female,January,423.57,50,2.6
Clothing,Middle East,55-64,Non-binary,November,711.4,41,4.5
Clothing,Europe,25-34,Non-binary,January,206.24,16,3.0
Books,Asia-Pacific,65+,Non-binary,July,248.91,14,3.5
Books,Europe,25-34,Non-binary,September,126.4,80,4.7
Electronics,North America,45-54,Female,December,497.33,41,3.7
Clothing,Africa,18-24,Female,January,173.4,93,4.9
Beauty Products,Middle East,45-54,Male,June,907.47,14,3.0
Beauty Products,Asia-Pacific,18-24,Non-binary,July,914.82,28,4.8
Clothing,Latin America,45-54,Female,January,350.53,87,4.6
Clothing,Europe,45-54,Female,May,267.62,85,3.4
Books,Latin America,35-44,Non-binary,March,988.65,74,3.3
Electronics,Asia-Pacific,45-54,Male,July,904.3,63,4.7
Beauty Products,North America,18-24,Female,September,83.85,81,3.8
Home Appliances,Africa,45-54,Male,January,517.92,91,3.5
Clothing,North America,35-44,Female,March,494.16,38,3.3
Clothing,North America,18-24,Non-binary,December,308.0,49,4.6
Clothing,North America,65+,Non-binary,January,967.04,74,2.6
Electronics,Africa,35-44,Non-binary,August,630.13,75,2.2
Electronics,Europe,18-24,Female,August,213.35,38,3.0
Books,Middle East,45-54,Non-binary,November,738.26,91,3.8
Books,Middle East,18-24,Female,October,537.08,78,2.5
Electronics,Africa,55-64,Female,June,862.35,58,1.4
Sports Equipment,Asia-Pacific,25-34,Non-binary,August,143.01,72,4.5
Clothing,Africa,18-24,Male,July,641.03,98,3.6
Clothing,Asia-Pacific,25-34,Male,January,536.85,16,4.9
Home Appliances,Africa,65+,Female,October,808.37,27,3.6
Sports Equipment,Europe,35-44,Female,March,445.39,66,2.2
Books,Africa,25-34,Non-binary,June,160.88,76,4.9
Beauty Products,North America,25-34,Non-binary,April,451.17,5,4.1
Sports Equipment,North America,25-34,Female,September,465.8,75,4.6
Electronics,Middle East,55-64,Non-binary,September,155.6,12,2.1
Clothing,Asia-Pacific,65+,Non-binary,April,428.59,7,3.8
Sports Equipment,Europe,35-44,Male,July,296.9,37,3.9
Home Appliances,Africa,18-24,Female,April,577.76,76,1.2
Electronics,North America,35-44,Female,March,525.74,39,2.8
Electronics,Middle East,65+,Male,April,613.63,65,2.5
Books,Latin America,18-24,Non-binary,January,733.69,52,2.9
Clothing,Africa,18-24,Non-binary,September,632.81,71,4.5
Home Appliances,Middle East,45-54,Non-binary,September,443.27,71,2.7
Beauty Products,Europe,25-34,Male,July,988.79,60,3.6
Home Appliances,Europe,55-64,Non-binary,December,791.65,88,1.2
Electronics,Latin America,55-64,Female,December,323.67,9,4.0
Clothing,Africa,55-64,Non-binary,March,628.75,95,4.5
Beauty Products,Latin America,55-64,Non-binary,August,165.88,26,3.1
